arrREF,arrHAS,"arrHAS,arrREF"
50098543,rosbouto,"rosbouto,50098543"
50098544,rospasca,"rospasca,50098544"
50098545,rosefaid,"rosefaid,50098545"
50098546,roscharl,"roscharl,50098546"
50098547,rosmissa,"rosmissa,50098547"
50098548,rosodile,"rosodile,50098548"
50098549,rosmondo,"rosmondo,50098549"
50098550,rosemile,"rosemile,50098550"
50098551,rosetang,"rosetang,50098551"
50098552,rosduclo,"rosduclo,50098552"
50098553,roscasan,"roscasan,50098553"
50098554,roslete1,"roslete1,50098554"
50098555,roshote1,"roshote1,50098555"
50098604,rosgarde,"rosgarde,50098604"
50098605,rosjmail,"rosjmail,50098605"
50098606,rosdegau,"rosdegau,50098606"
