idfcod,idfarr,"idfarr,idfcod"
50000257,castorsa,"castorsa,50000257"
50000258,clofousa,"clofousa,50000258"
50000259,maupoma,"maupoma,50000259"
50000260,chantera,"chantera,50000260"
50000261,garemlj3,"garemlj3,50000261"
50000262,carnot2,"carnot2,50000262"
50000263,chanterr,"chanterr,50000263"
50000264,maupomr,"maupomr,50000264"
50000265,clofour,"clofour,50000265"
50000266,castorsr,"castorsr,50000266"
50000267,convoisr,"convoisr,50000267"
50000268,cytisesr,"cytisesr,50000268"
50000269,tilguerr,"tilguerr,50000269"
50000270,stmartr,"stmartr,50000270"
50000271,lombardr,"lombardr,50000271"
50000272,plagner,"plagner,50000272"
50000273,herbertr,"herbertr,50000273"
50000274,chcommr,"chcommr,50000274"
50000275,mlvsynd,"mlvsynd,50000275"
50000276,croibria,"croibria,50000276"
50000277,ponchapa,"ponchapa,50000277"
50000278,garosnya,"garosnya,50000278"
50000279,lommoya,"lommoya,50000279"
50000280,valfleua,"valfleua,50000280"
50000281,pasteura,"pasteura,50000281"
50000282,rosmurr,"rosmurr,50000282"
50000283,rosmais2,"rosmais2,50000283"
50000284,rosfauv,"rosfauv,50000284"
50000285,rosmesa1,"rosmesa1,50000285"
50000286,rosmais1,"rosmais1,50000286"
50000287,rosmura,"rosmura,50000287"
50000288,henria,"henria,50000288"
50000289,maironya,"maironya,50000289"
50000290,charlesa,"charlesa,50000290"
50000291,staronya,"staronya,50000291"
50000292,martinea,"martinea,50000292"
50000293,colsully,"colsully,50000293"
50000294,martiner,"martiner,50000294"
50000295,staronyr,"staronyr,50000295"
50000296,charlesr,"charlesr,50000296"
50000297,maironyr,"maironyr,50000297"
50000298,henrir,"henrir,50000298"
50000299,pasteurr,"pasteurr,50000299"
50000300,valfleur,"valfleur,50000300"
50000301,lommoyr,"lommoyr,50000301"
50000302,garesnyr,"garesnyr,50000302"
50000303,ponchapr,"ponchapr,50000303"
50000304,croibrir,"croibrir,50000304"
50000305,guseifr,"guseifr,50000305"
50000306,eifmarr,"eifmarr,50000306"
50000307,eifmara,"eifmara,50000307"
50000308,guseiffa,"guseiffa,50000308"
50000309,martirr1,"martirr1,50000309"
50000310,boismour,"boismour,50000310"
50000311,butverta,"butverta,50000311"
50000312,butvertr,"butvertr,50000312"
50000313,cygner,"cygner,50000313"
50000314,mljcddr,"mljcddr,50000314"
50000315,mljcdda,"mljcdda,50000315"
50000316,Cygnes,"Cygnes,50000316"
50000317,croifea,"croifea,50000317"
50000318,béarn,"béarn,50000318"
50000319,verdo,"verdo,50000319"
50000320,Dartya,"Dartya,50000320"
50000321,garonnes,"garonnes,50000321"
50000322,merlin,"merlin,50000322"
50000323,lot,"lot,50000323"
50000324,chpsodea,"chpsodea,50000324"
50000325,closeaua,"closeaua,50000325"
50000326,piquettr,"piquettr,50000326"
50000327,piquetta,"piquetta,50000327"
50000328,closeaur,"closeaur,50000328"
50000329,chpsoder,"chpsoder,50000329"
50000330,lotr,"lotr,50000330"
50000331,merllinr,"merllinr,50000331"
50000332,garonner,"garonner,50000332"
50000333,Dartyr,"Dartyr,50000333"
50000334,verdor,"verdor,50000334"
50000335,béarnr,"béarnr,50000335"
50089522,porlyce,"porlyce,50089522"
50089523,sncfmlv4,"sncfmlv4,50089523"
50089524,sncfmlv,"sncfmlv,50089524"
50089528,mljgar13,"mljgar13,50089528"
50089530,rsnloma,"rsnloma,50089530"
50089531,rosbmoua,"rosbmoua,50089531"
50089532,mljrama,"mljrama,50089532"
50089533,limponta,"limponta,50089533"
50089534,limchapa,"limchapa,50089534"
50089535,limmonua,"limmonua,50089535"
50089536,limpaixa,"limpaixa,50089536"
