idfcod,idfarr,"idfarr,idfcod"
50079230,vehalt2,"vehalt2,50079230"
50079231,necequ2,"necequ2,50079231"
50079232,nemairi2,"nemairi2,50079232"
50079233,nelaga2,"nelaga2,50079233"
50079237,fromair2,"fromair2,50079237"
50079238,bumair3,"bumair3,50079238"
50079245,bumair4,"bumair4,50079245"
50079246,memair1,"memair1,50079246"
50079247,megare1,"megare1,50079247"
50079249,soagro1,"soagro1,50079249"
50079250,soabal1,"soabal1,50079250"
50079251,soavga1,"soavga1,50079251"
50079252,soabet1,"soabet1,50079252"
50079253,soaequ1,"soaequ1,50079253"
50079256,soaequ2,"soaequ2,50079256"
50079257,soabet2,"soabet2,50079257"
50079258,soavga2,"soavga2,50079258"
50079259,soabal2,"soabal2,50079259"
50079260,soagro2,"soagro2,50079260"
50079263,memair2,"memair2,50079263"
50079267,uscloso2,"uscloso2,50079267"
50079268,usstade2,"usstade2,50079268"
50079273,vygegli1,"vygegli1,50079273"
50079275,usstade1,"usstade1,50079275"
50079276,uscloso1,"uscloso1,50079276"
50079280,vygtrap2,"vygtrap2,50079280"
50079281,vygegli2,"vygegli2,50079281"
50079422,osnlyce1,"osnlyce1,50079422"
50079423,hezoac1,"hezoac1,50079423"
50100359,bumas2,"bumas2,50100359"
50100361,sailpla1,"sailpla1,50100361"
50100362,sagypla1,"sagypla1,50100362"
50100363,sagypla2,"sagypla2,50100363"
50100364,sailpla2,"sailpla2,50100364"
50100365,seramai1,"seramai1,50100365"
50100366,rueipla1,"rueipla1,50100366"
50100367,longaub1,"longaub1,50100367"
50100368,longegl1,"longegl1,50100368"
50100370,avemair1,"avemair1,50100370"
50100371,longegl2,"longegl2,50100371"
50100372,longaub2,"longaub2,50100372"
50100373,rueipla2,"rueipla2,50100373"
50100374,seramai2,"seramai2,50100374"
50100375,mobm1,"mobm1,50100375"
50100376,mova1,"mova1,50100376"
50100377,mova2,"mova2,50100377"
50100378,mobm2,"mobm2,50100378"
50100389,chemrog1,"chemrog1,50100389"
50100390,pontcdg2,"pontcdg2,50100390"
50100391,pontdra2,"pontdra2,50100391"
50100392,pontdra1,"pontdra1,50100392"
50100393,chemrog2,"chemrog2,50100393"
50100394,valgare3,"valgare3,50100394"
50100395,pontcdg4,"pontcdg4,50100395"
50100396,cerpref3,"cerpref3,50100396"
50100397,pontcdg5,"pontcdg5,50100397"
50100398,osnlyce2,"osnlyce2,50100398"
50100399,arlavoi1,"arlavoi1,50100399"
50100400,pontcdg3,"pontcdg3,50100400"
50100401,mahopi1,"mahopi1,50100401"
50100402,harmair1,"harmair1,50100402"
50100403,harpesa1,"harpesa1,50100403"
50100412,eprhepi1,"eprhepi1,50100412"
50100413,hearosn5,"hearosn5,50100413"
50100414,eprhepi2,"eprhepi2,50100414"
50100415,macesha3,"macesha3,50100415"
50100416,harmair2,"harmair2,50100416"
50100418,macesha5,"macesha5,50100418"
50100419,macesha4,"macesha4,50100419"
50100420,themboi3,"themboi3,50100420"
50100421,gouzang2,"gouzang2,50100421"
50100422,macesha6,"macesha6,50100422"
50100423,gouzang1,"gouzang1,50100423"
50100428,msoza1,"msoza1,50100428"
50100429,msoza2,"msoza2,50100429"
50100430,freegl3,"freegl3,50100430"
50100434,arplca3,"arplca3,50100434"
50100454,cerpref5,"cerpref5,50100454"
50100547,pontcdg1,"pontcdg1,50100547"
50154415,maduda3,"maduda3,50154415"
50154419,cermarj1,"cermarj1,50154419"
50154420,cermarj2,"cermarj2,50154420"
50154422,mahopi3,"mahopi3,50154422"
50154423,mameta3,"mameta3,50154423"
