idfcod,idfarr,"idfarr,idfcod"
50090156,vlbcham2,"vlbcham2,50090156"
50090157,mlhchap,"mlhchap,50090157"
50090158,mlhhode,"mlhhode,50090158"
50090159,mlhlema,"mlhlema,50090159"
50090160,mlhhugo,"mlhhugo,50090160"
50090161,mlhbuis,"mlhbuis,50090161"
50090162,mlh25ar2,"mlh25ar2,50090162"
50090163,mlh25ar,"mlh25ar,50090163"
50090164,mlhbuis2,"mlhbuis2,50090164"
50090165,mlhugo2,"mlhugo2,50090165"
50090166,mlhlema2,"mlhlema2,50090166"
50090167,mlhhode2,"mlhhode2,50090167"
50090168,mlhchap2,"mlhchap2,50090168"
50090169,vlbcham,"vlbcham,50090169"
50090170,vlbpasc,"vlbpasc,50090170"
50090171,vlbbouc,"vlbbouc,50090171"
50090172,guylyce,"guylyce,50090172"
50090173,guyport2,"guyport2,50090173"
50090174,vlbgran3,"vlbgran3,50090174"
50090175,vlblac2,"vlblac2,50090175"
50090176,vlbapyr2,"vlbapyr2,50090176"
50090177,mbrdesc6,"mbrdesc6,50090177"
50090178,vlbapyr,"vlbapyr,50090178"
50090179,vlblac,"vlblac,50090179"
50090180,vlbgran4,"vlbgran4,50090180"
50090181,guyport,"guyport,50090181"
50090182,mbrtrou3,"mbrtrou3,50090182"
50090183,guyrous,"guyrous,50090183"
50090184,guyrave,"guyrave,50090184"
50090185,guybois,"guybois,50090185"
50090186,guyage2,"guyage2,50090186"
50090187,guymich4,"guymich4,50090187"
50090188,guyhaus2,"guyhaus2,50090188"
50090189,guynoel2,"guynoel2,50090189"
50090190,guyhote2,"guyhote2,50090190"
50090191,guymonu2,"guymonu2,50090191"
50090192,guyelua2,"guyelua2,50090192"
50090193,guybouv2,"guybouv2,50090193"
50090194,guyphil2,"guyphil2,50090194"
50090195,guygril,"guygril,50090195"
50090196,guychat,"guychat,50090196"
50090197,guymend,"guymend,50090197"
50090198,guymend2,"guymend2,50090198"
50090199,guychat2,"guychat2,50090199"
50090200,guygril2,"guygril2,50090200"
50090201,guyphil,"guyphil,50090201"
50090202,guybouv,"guybouv,50090202"
50090203,guyelua,"guyelua,50090203"
50090204,guymonu,"guymonu,50090204"
50090205,guyhote,"guyhote,50090205"
50090206,guynoel,"guynoel,50090206"
50090207,guyhaus,"guyhaus,50090207"
50090208,guymich3,"guymich3,50090208"
50090209,guyage,"guyage,50090209"
50090210,guybois2,"guybois2,50090210"
50090211,guyrave2,"guyrave2,50090211"
50090212,guyrous2,"guyrous2,50090212"
50090213,mbrtrou4,"mbrtrou4,50090213"
50090214,vlbmich,"vlbmich,50090214"
50090215,mlhzabo3,"mlhzabo3,50090215"
50090216,forplac,"forplac,50090216"
50090217,mlhsoli,"mlhsoli,50090217"
50090218,guyelua4,"guyelua4,50090218"
50090219,guymoza2,"guymoza2,50090219"
50090220,guygene2,"guygene2,50090220"
50090221,vlbsurc2,"vlbsurc2,50090221"
50090222,vlbbart2,"vlbbart2,50090222"
50090223,mbrcott2,"mbrcott2,50090223"
50090224,mbrboug2,"mbrboug2,50090224"
50090225,mbrberg4,"mbrberg4,50090225"
50090226,mbrberg3,"mbrberg3,50090226"
50090227,mbrboug,"mbrboug,50090227"
50090228,mbrcott,"mbrcott,50090228"
50090229,vlbbart,"vlbbart,50090229"
50090230,vlbsurc,"vlbsurc,50090230"
50090231,guygene,"guygene,50090231"
50090232,guymoza,"guymoza,50090232"
50090233,guyelua3,"guyelua3,50090233"
50090234,vlbvals4,"vlbvals4,50090234"
50090235,guylald,"guylald,50090235"
50090236,vrscite,"vrscite,50090236"
50090237,vrspont,"vrspont,50090237"
50090238,vrsstlo,"vrsstlo,50090238"
50090239,vrsanjo,"vrsanjo,50090239"
50090240,vrsanjo2,"vrsanjo2,50090240"
50090241,vrsstlo2,"vrsstlo2,50090241"
50090242,vrspont2,"vrspont2,50090242"
50090243,vrscite2,"vrscite2,50090243"
50090244,guyvald2,"guyvald2,50090244"
50090245,guymini2,"guymini2,50090245"
50090246,guygogo4,"guygogo4,50090246"
50090247,vlbvals3,"vlbvals3,50090247"
50090248,guygogo,"guygogo,50090248"
50090249,mbrga11,"mbrga11,50090249"
50090250,mbrsqyo2,"mbrsqyo2,50090250"
50090251,guygolf,"guygolf,50090251"
50090252,mlhmera3,"mlhmera3,50090252"
50090253,mlhaube2,"mlhaube2,50090253"
50090254,mlhmera4,"mlhmera4,50090254"
50090255,guytcsp2,"guytcsp2,50090255"
50090256,mbrsqyo,"mbrsqyo,50090256"
50090257,mbrga12,"mbrga12,50090257"
50090258,mlhaube,"mlhaube,50090258"
50090259,mlhzabo,"mlhzabo,50090259"
50090260,vlbgran2,"vlbgran2,50090260"
50090261,vlbeuro2,"vlbeuro2,50090261"
50090262,mbrtrou,"mbrtrou,50090262"
50090263,mbrgiac2,"mbrgiac2,50090263"
50090264,mbrgiac,"mbrgiac,50090264"
50090265,mbrtrou2,"mbrtrou2,50090265"
50090266,vlbeuro,"vlbeuro,50090266"
50090267,vlbgran,"vlbgran,50090267"
50090268,vlbguyn2,"vlbguyn2,50090268"
50090269,vlbcaud2,"vlbcaud2,50090269"
50090270,vlbvals2,"vlbvals2,50090270"
50090271,vlbvals,"vlbvals,50090271"
50090272,vlbcaud,"vlbcaud,50090272"
50090273,vlbguyn,"vlbguyn,50090273"
50090274,mbrgrou2,"mbrgrou2,50090274"
50090275,travagu2,"travagu2,50090275"
50090276,trabase,"trabase,50090276"
50090277,traplai2,"traplai2,50090277"
50090278,elagayl,"elagayl,50090278"
50090279,traalem,"traalem,50090279"
50090280,trablai,"trablai,50090280"
50090281,traplai,"traplai,50090281"
50090282,trabase2,"trabase2,50090282"
50090283,travagu,"travagu,50090283"
50090284,mbrgrou,"mbrgrou,50090284"
50090285,trablai2,"trablai2,50090285"
50090286,traalem2,"traalem2,50090286"
50090287,vlbcham4,"vlbcham4,50090287"
50090288,vlbcham3,"vlbcham3,50090288"
50090289,mbretie3,"mbretie3,50090289"
50090290,mbrbret3,"mbrbret3,50090290"
50090291,mbretie4,"mbretie4,50090291"
50090292,guyjmon2,"guyjmon2,50090292"
50090293,guysang,"guysang,50090293"
50090294,guychal2,"guychal2,50090294"
50090295,guybatt2,"guybatt2,50090295"
50090296,guyrpsa2,"guyrpsa2,50090296"
50090297,guycmon2,"guycmon2,50090297"
50090298,guymati2,"guymati2,50090298"
50090299,guysaul2,"guysaul2,50090299"
50090300,guychen2,"guychen2,50090300"
50090301,guyquad2,"guyquad2,50090301"
50090302,guyquad,"guyquad,50090302"
50090303,guychen,"guychen,50090303"
50090304,guysaul,"guysaul,50090304"
50090305,guymati,"guymati,50090305"
50090306,guycmon,"guycmon,50090306"
50090307,guyrpsa,"guyrpsa,50090307"
50090308,guybatt,"guybatt,50090308"
50090309,guychal,"guychal,50090309"
50090310,guysang2,"guysang2,50090310"
50090311,guyboro,"guyboro,50090311"
50090312,guydroi,"guydroi,50090312"
50090313,elanorm2,"elanorm2,50090313"
50090314,elamoul,"elamoul,50090314"
50090315,elanorm,"elanorm,50090315"
50090316,cladebr,"cladebr,50090316"
50090317,clapave,"clapave,50090317"
50090318,clacite,"clacite,50090318"
50090319,clacave,"clacave,50090319"
50090320,fardivi,"fardivi,50090320"
50090321,chagaul,"chagaul,50090321"
50090322,chabert,"chabert,50090322"
50090323,chachat,"chachat,50090323"
50090324,malperi,"malperi,50090324"
50090325,roumair,"roumair,50090325"
50090326,roumair2,"roumair2,50090326"
50090327,malperi2,"malperi2,50090327"
50090328,chamais2,"chamais2,50090328"
50090329,chabert2,"chabert2,50090329"
50090330,chagaul2,"chagaul2,50090330"
50090331,fardivi2,"fardivi2,50090331"
50090332,clacave2,"clacave2,50090332"
50090333,clacite2,"clacite2,50090333"
50090334,clapave2,"clapave2,50090334"
50090335,trastad3,"trastad3,50090335"
50090336,mbrassi3,"mbrassi3,50090336"
50090337,sceterri,"sceterri,50090337"
50090338,sceterr2,"sceterr2,50090338"
50090339,lveorly,"lveorly,50090339"
50090340,msdther,"msdther,50090340"
50090341,maubois4,"maubois4,50090341"
50090342,lvegare6,"lvegare6,50090342"
50090343,maubois3,"maubois3,50090343"
50090344,tragare4,"tragare4,50090344"
50090345,mbrpasl3,"mbrpasl3,50090345"
50090346,mbrpasl6,"mbrpasl6,50090346"
50090347,mbrga36,"mbrga36,50090347"
50090348,boabonn2,"boabonn2,50090348"
50090349,boaclai2,"boaclai2,50090349"
50090350,boatati2,"boatati2,50090350"
50090351,mbrpasl7,"mbrpasl7,50090351"
50090352,mbrga38,"mbrga38,50090352"
50090353,tragare5,"tragare5,50090353"
50090354,mbrga33,"mbrga33,50090354"
50090355,mbrpasl4,"mbrpasl4,50090355"
50090356,boaarle,"boaarle,50090356"
50090357,boavons2,"boavons2,50090357"
50090358,tragare6,"tragare6,50090358"
50090359,lvegare8,"lvegare8,50090359"
50090360,lvegare7,"lvegare7,50090360"
50090361,tragare3,"tragare3,50090361"
50090362,mbrcail,"mbrcail,50090362"
